,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
LILRA6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LILRB1,92.15,104.58,138.87,116.58,80.67,51.95,66.08,77.59,147.25,205.69,271.33,101.47,48.44,25.81,87.66,77.24,77.24,126.02,162.98,22.98,114.89,85.73,94.72,55.47,107.74,88.73,20,20,58.98,146.3,182.82,109.86,26.24,34.62,117.33,45.45,67.38,161.18,181.98,69.13,27.32,32.77,83.57,146.17,20,30,44.76,95.39,150.82,150.99,111.57,34.78,81.09,150.27,86.67,131.69,219.58,171.01,30.35,62.02,79.55,55.92,109.88,102.4,28.7,20,63.22,60.89,20,20,20,20,20,29.55,20,20,20,20,20,20,20,20,20,20,20,20,20,20,111.74,20,20,20,20,20,20,20,20,20,158.44,45.26,20,20,20,20,20,59.42,20,20,20,20,29.63,21.93,20,20,20,20,30.91,181.23,20,20,20,20,45.4,393.92,20,20,20,20,79.97,43.85
LILRB2,75.82,79.81,101.58,85.12,39.82,60.03,61.92,46.55,76.45,87.53,115.54,49.78,20,45.76,56.56,57.09,49.27,79.21,82.38,20,79.8,49.61,48.94,39.45,69,50.97,27.86,20,54.96,59.44,65.76,62.77,30.92,20,60.47,39.11,40.01,67.56,93.38,104.81,34.77,21.85,72.67,94.9,20,32.4,72.19,54.51,70.66,91.04,96.35,25.29,62.23,84.33,46.9,85.83,117.95,82.19,38.22,33.49,41.75,55.92,68.23,67.03,20,20,42.75,31.33,29.49,22.78,20,28.12,20,41.19,20,20,20,32.71,20,20,24.03,20.25,26.01,20,35.04,20,39,26.42,22.76,20,20,20,20,21.97,20,39.43,31.59,31.7,20.89,48.5,20,20,20,29.42,26.68,31.99,23.77,20,20,20,20,21.38,21.78,20,20.8,20,20,27.98,20,20,21.97,20,20,20,20,20,20,20,20,20
LILRB3,26.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.15,20,20,20,20,20,20,21.14,20,23.16,20,20,20,20,45.42,29.45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.17,20,20,20,20,20,21.97,20,20,20,31.7,20,20,20,20,20,24.52,25.92,20,20,20,20,34.43,20,20,20,20,20,20,20,20,20,20,20,20,28.37,20,20,20,20,20,20,20
LILRB4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LILRB5,26.83,27.52,20,20,20.42,20,20,21.72,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26.65,20,20,20,20,20,20,20,20,22.2,20,20,20,20,20,21.85,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LIMK1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LITAF,571.56,301.34,428.18,814.21,406.42,494.1,784.6,103.97,83.06,360.62,533.91,313.99,473.12,233.63,171.09,151.12,195.76,225.64,535.5,315.35,390.08,81.87,67.09,295.87,1090.67,447.41,410.62,493.28,266.77,429.77,714.18,614.01,673.7,1007.33,306.34,232.54,229.52,592.6,480.08,735.87,306.71,108.39,917.49,965.36,587.46,523.17,368.16,137.17,324.84,401.91,468.25,152.82,456.34,361.48,163.14,296.3,439.17,232,291.14,121.56,121.3,186.41,264.94,437.53,151.23,186.52,227.6,125.76,278.96,202.39,188.49,380.86,378.86,295.5,147.47,85.89,73.54,118.17,202.83,138.91,122.03,92.81,135.46,96.06,100.56,81.27,215.2,454.92,313.15,100.57,99.84,144.57,300.88,234.37,166.49,183.44,143.13,516.05,238.38,232.79,93.11,104.21,180,172.87,236.31,218.24,92.83,80.65,93.79,389.71,277.12,310.81,87.11,84.34,83.18,152.95,175.18,229.21,135.72,99.07,154.66,261.37,313.53,222.03,122.11,92.47,123.06,250.05,103.26,143.96
LTA,20,20,20,20,20.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.35,20,20,30.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LTB,75.82,70.18,72.01,90.67,77.61,70.42,56.52,61.29,42.47,45.51,75.27,49.78,61.36,21.33,50.9,72.2,91.89,42.01,46.57,43.21,68.8,64.54,48.94,77.66,79.89,47.19,42.39,28.63,64.35,47.24,43.4,41.2,39.35,81.35,28.83,69.76,52.64,49.22,37.11,26.76,20,52.09,56.32,51.27,82.94,45.6,28.88,61.77,47.46,49.96,74.38,56.91,75.43,49.45,38.75,36.45,57.72,45.07,26.98,39.69,59.24,54.23,38.1,52.13,25.39,35.97,72.25,56.48,46.7,23.66,27.07,47.29,64.55,32.24,51.14,20,59.02,43.26,43.18,20,20.86,25.31,42.26,24.6,20,20,37.55,48.25,40.7,37.31,33.28,30.06,73.19,37.54,28.95,20,29.61,40.57,33.13,22.63,30.23,45.82,40.5,40.46,37.35,31.99,40.75,22.55,20,44.07,47.06,47.69,54.96,49.47,53.88,20,44.16,20,20,20,24.61,36.43,51.07,41.78,32.37,22.89,30.14,39.22,55.9,43.11
LTB4R,48.99,41.28,27,49.96,24.51,27.71,32.41,22.5,20,24.51,40.26,20,20,20,20,20,20,27.6,46.57,20,22.01,20,20,36.98,44.79,54.75,30.28,28.63,33.51,48.77,42.09,49.04,29.98,39.81,20.42,38.05,20,29.92,20,52.4,38.49,22.69,76.31,65.45,20,30,36.09,31.8,20,31.09,33.81,20,20,20,25.49,38.8,41.41,27.84,26.98,20,20,20,35.44,42.82,20,20,20,20,28.26,20,20,20,46.56,39.4,20,20,20,20,25.1,20,20,20,20,20,20,20,20,39.06,25.52,20,20,20,20,32.96,20,20,20.73,26.63,23.05,28.02,20,20,23.4,25.75,34.3,30.85,20,20,20,37.18,33.11,27.96,20,20,20,20,20,20,20,20,20,20,41.14,35.81,20,20,20,20,20,20
LTB4R2,44.32,35.78,27,20,20,20,20,24.05,20,20,42.01,40.21,20,20,28.28,20,20,20,20,20,20,20,20,30.82,30.26,20,20,20,28.15,20,20,20,20,20,20,28.54,20,20,31.13,20,20,21.85,20,29.45,20,20,20,20.89,20,20,33.81,21.08,20,20,27.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.66,20,20,20,20,20,20,20,20,20,20,20,20,22.85,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LTBR,40.83,44.03,27,42.56,30.63,20,24.52,20,20,23.63,35.01,20,20,20,42.42,20,20,28.8,35.82,20,25.45,20,20,28.35,26.63,20,37.55,28.63,20,20,20,20,29.05,36.35,20,27.48,27.37,24.13,23.94,24.53,20,20,20,40.36,20,32.4,20,20,31.64,29.98,33.81,20,20,26.45,23.45,27.04,38.9,41.1,24.73,20,20,20,20,20,20,20,20,20,20,20,20,25.56,27.51,34.03,20,20,20,23.21,20.08,20,20,20,20,20,20,20,20,26.42,20,20,20,20,20,21.97,20,20,20,25.36,20,20,20,20,20,31.88,20,20,20,20,20,31.67,21.79,20,20,20,20,20,20,20,20,20,20,34.85,20,20,20,20,20,20,20,20
LTF,30.33,31.65,55.29,46.26,28.59,31.17,40.73,27.93,29.26,36.76,47.26,38.29,98.5,388.46,46.66,33.58,63.92,31.21,42.98,25.74,61.92,20,20,33.28,39.95,20,48.45,279.83,20,20,27.62,58.85,52.47,115.96,165.39,35.94,33.69,24.13,20,267.59,736.35,32.77,158.06,85.08,110.58,87.6,147.26,46.33,75.94,72.17,59.17,68.51,90.51,73.6,23.45,47.03,35.13,20,309.12,131.49,44.57,37.28,26.58,20,28.7,70.61,20,20,20,20,20,30.67,34.92,237.3,26.16,20,20,20,20,29,20,20,20,26.94,20,20,31.77,145.89,159.33,20,20,41.51,200.05,88.8,20,20,32.57,87.49,23.05,165.97,24.19,20.66,20.7,20,34.3,173.68,27.17,20,20,57.84,48.8,55.91,20,20.27,20,20,20,30.65,50,20,21.97,20,49.65,99.08,20,20,20,20,20,23.38
LTK,29.16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.31,20,20,20,20,20,20,20,20,20,20,20,26.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LY96,92.15,83.94,137.58,353.44,137.86,158.16,176.62,40.34,49.08,125.17,218.82,91.9,100.11,32.34,49.49,45.34,37.29,84.01,177.31,80.9,86.68,39.49,27.63,29.59,277.21,154.8,84.79,87.2,65.69,150.88,234.12,204.02,148.04,266.54,126.94,50.74,65.28,129.33,138.88,123.76,44.7,25.21,354.28,306.52,293.73,166.79,95.29,31.8,121.29,167.65,169.04,53.75,130.11,112.7,56.08,135.22,235.9,141.85,76.44,74.43,45.14,98.29,97.47,122.88,47.47,39.97,69.24,40.15,36.87,39.43,94.25,201.93,189.43,86.86,47.57,20,29.96,55.92,132.54,20.86,32.25,20,20,31.63,30.47,56.99,95.32,229.76,69.67,20,52.94,93.04,570.86,84.22,36.19,87.43,74.03,195.26,74.9,40.95,27.81,44.02,87.3,112.79,110.53,39.99,20,40.76,51.36,201.05,83.66,102.51,25.93,23.52,50.1,146.37,148.69,39.98,39.29,39.25,52.73,134.65,97.89,87.14,30.9,21.06,62.78,168.33,189.44,122.04
MAF,26.83,41.28,28.29,38.86,42.89,20,20,34.14,31.15,21.88,20,20,20,24.43,35.35,47.02,20,20,20,30.34,20,23.12,23.28,29.59,27.84,39.64,32.7,20,28.15,30.48,26.31,20,33.73,20,20,22.2,30.53,24.13,29.93,23.41,52.15,20.17,20,42.54,20,30,20,22.71,23.2,25.54,20,48.48,20,20,28.55,20,20,30.49,33.72,20,30.47,20,32.79,20,26.49,20,25.29,24.27,34.41,48.19,45.12,57.51,41.27,30.45,38.06,20,32.69,30.6,34.14,42.23,26.56,40.5,34.68,51.54,36.57,60.16,59.22,66.63,32.42,40.55,39.33,50.1,47.17,38.45,28.95,20,20.73,38.04,34.57,50.65,20,23.36,34.2,30.65,21.34,47.99,20,32.95,20,33.05,39.21,32.34,20,34.87,23.63,32.89,20,33.32,20,42.99,35.15,36.43,38.3,28.65,60.32,56.76,47.72,68.64,42.7,36.54
MAFF,45.49,44.03,50.15,48.11,28.59,20,20,37.24,38.7,20,49.02,20,20,21.68,39.59,36.94,20,37.21,20,20,20,20,20,59.17,32.68,58.52,46.03,20,30.83,42.67,38.14,66.7,31.86,36.35,20,53.91,33.69,33.78,25.14,33.45,20,31.93,20,43.63,20,20,20,36.34,45.35,28.87,52.4,44.27,20,20,48.94,38.8,45.17,49.05,31.47,20,24.26,35.59,25.7,46.55,23.18,43.97,20,20,20,20,22.06,25.56,32.81,26.86,20,20,20,20,22.09,20,20,20,20,20,20,20,20,26.42,20,20,20,20,47.17,21.06,20,20,23.69,20,20,36.64,20,24.26,26.1,20,20,37.71,20,20,20,28.92,20.91,20.83,20,20,20,20,20,27.98,20,20,20.21,33.27,20,26.26,20,20,20,20,28.73,28.5
MAFG,33.83,20,28.29,20,24.51,20,26.6,24.05,20,22.76,20,20,20,20,20,20,20,20,20,20,20,20,20,25.89,20,20,20,20,20,20,20,43.16,20.61,20,20,22.2,20,20,20,24.53,20,20,20,27.27,20,20,20,20,20,20,20,24.24,20,20,20,20,20,20,20,20,21.44,20,20,20,20,20,20,20,20,20,20,20,30.69,25.07,29.73,20,20,20,20,20,20,20,20,20,20,23.22,20,20,20,20,20,20,20,28.38,20,20,20.73,32.97,23.05,31.25,20,20,27.9,20,25.92,31.99,20,20,20,20,24.4,38.37,21.78,20,25.52,20,36.8,20,20,20,20,20,20,26.26,20,20,20,20,20,20
MAFK,20,20,20,20,20,20,20,20,20.77,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MALT1,107.31,115.58,163.3,64.77,128.67,86.58,94.33,132.67,125.54,102.41,70.02,101.47,114.65,198.53,121.6,94.03,122.51,63.61,85.97,108.49,73.61,99.69,142.08,122.04,72.63,66.07,55.72,87.2,130.03,100.58,63.13,80.43,100.26,96.92,71.68,104.64,101.07,101.34,108.95,57.98,57.12,95.78,56.32,62.18,20,74.4,66.41,113.55,75.94,69.95,92.97,137.01,75.43,90.08,114.2,57.61,60.23,71.59,48.34,54.58,119.61,66.09,66.46,81.92,103.76,74.61,119.22,117.82,90.94,142.81,105.28,132.92,99.48,85.96,142.72,20,125.29,132.94,80.33,91.08,100.53,116.44,93.19,73.8,76.18,78.1,98.21,79.27,106.22,110.3,107.4,81.59,125.23,56.76,105.69,92.57,119.44,109.04,94.34,101.31,105.21,97.93,99.9,101.76,88.42,84.55,108.67,81.51,44.66,118.43,97.6,102.51,134.82,141.1,110.59,106.9,97.16,78.62,100.01,102.8,116.88,80.79,92.21,111.01,132.41,100.7,125.57,147.09,118.79,119.84
MAP2K1,41.99,35.78,48.86,40.71,70.46,77.35,67.74,43.45,54.75,56.02,66.52,47.86,41.98,52.3,53.73,47.02,43.95,48.01,62.68,30.34,55.04,40.94,43.41,33.28,52.05,20,35.13,27.33,53.62,38.1,47.35,39.23,59.03,55.39,57.26,39.11,56.85,44.4,86.2,82.51,34.77,23.53,45.42,43.63,20,69.6,56.31,50.87,41.13,41.08,77.76,53.75,73.54,64.78,47.92,39.98,50.19,51.7,24.73,37.21,37.24,44.06,42.53,40.96,30.91,20,32.51,36.62,20,35.92,41.11,34.51,40.21,43.88,41.63,20,36.32,46.42,34.14,44.78,41.1,27.84,37.93,35.14,20,22.16,46.22,29.87,44.14,40.55,39.33,28.63,32.53,37.54,40.54,41.14,26.65,43.11,64.1,38.8,20,36.83,22.5,33.1,44.21,37.71,29.43,26.88,20,38.56,40.96,42.21,48.74,42.17,32.14,32.89,39.75,61.3,44.65,20,26.36,39.6,53.91,97.88,41.19,41.2,40.18,35.95,41.93,48.23
MAP2K4,268.28,298.59,289.31,227.61,236.91,240.12,214.85,290.95,249.19,257.33,299.34,340.79,224.45,171.35,270.06,302.25,269,226.84,254.32,141.58,201.57,218.17,302.31,255.18,226.36,283.17,291.92,252.5,317.71,329.18,322.24,335.45,223.94,327.12,189.41,242.05,253.73,224.88,226.27,165.01,114.24,231.06,218.02,186.53,290.28,195.59,199.24,178.96,223.59,143.22,231.59,160.2,182.91,154.87,197.81,205.76,200.76,279.72,260.79,274.14,168.69,189.8,202.03,294.17,193.17,269.13,185.45,241.37,194.17,201.52,281.74,236.44,261.39,189.84,221.21,245.39,239.69,194.13,253.04,151.12,170.08,207.56,156.05,166.34,156.93,188.93,150.21,189.55,179.34,227.09,237.5,237.62,255.34,168.45,238.88,286.3,262.57,281.48,222.54,144.42,189.86,214.72,196.21,250.1,201.24,146.25,217.35,184.71,154.08,225.84,241.39,234.07,221.93,235.17,288.3,225.32,285.6,202.56,255.37,278.51,280.33,234.45,241.18,192.19,253.05,226.13,280.01,251.68,239.13,234.57
MAP2K6,54.82,63.3,45,42.56,25.53,20,22.86,39.57,30.2,28.88,36.76,51.69,20,20,53.73,45.34,33.29,26.4,20,20,20,20,27.23,54.24,38.74,39.64,43.61,29.93,41.56,38.1,32.88,56.89,32.79,45,20,52.85,42.11,20.27,37.11,20,20,32.77,43.6,33.82,72.57,44.4,40.43,32.7,36.91,24.43,52.4,44.27,20,20,45.88,41.15,41.41,50.38,46.09,20,45.7,20,36.33,80.06,23.18,38.64,27.09,31.33,33.18,35.05,42.11,40.9,24.34,29.55,28.54,20,42.67,29.54,20,33.07,20,25.31,33.59,39.83,20,34.83,31.77,35.61,36.56,37.31,46.89,40.08,48.79,26.55,39.09,20,20,25.36,27.37,32.33,37.49,29.65,23.4,34.33,27.44,35.42,32.83,24.28,20,48.2,26.14,20,26.96,35.68,45.37,42.76,20,34.65,44.65,46.73,38.67,38.02,20,20,33.84,32.96,27.62,39.22,38.04,40.19
MAP3K1,200.63,165.12,203.16,144.34,120.5,114.29,174.12,157.5,160.46,185.56,131.29,112.96,132.41,99.09,154.12,147.77,158.47,158.43,139.7,82.74,134.15,104.51,173.26,134.37,176.73,143.47,77.52,87.2,160.87,146.3,172.3,125.55,138.67,107.31,136.15,97.24,142.13,154.42,137.68,130.45,78.23,139.48,138.08,165.8,148.59,103.19,96.73,147.17,116.01,132.12,116.64,85.37,94.29,166.75,150.91,122.28,160.61,121.96,68.57,81.87,141.61,116.93,103.67,145.22,82.79,73.28,134.27,139.44,79.88,100.76,87.23,121.42,79.37,81.49,84.44,102.25,100.78,92.84,64.26,57.5,71.45,102.94,85.61,62.08,51.8,69.66,92.44,83.86,80.01,94.08,92.28,77.3,81.32,62.25,65.15,84,81.93,105.24,72.74,66.82,72.56,86.25,82.8,82.14,64.03,75.41,60,70.24,53.59,86.76,76.69,74,124.45,111.91,122.88,98.68,95.69,62.63,89.29,84.11,94.91,83.96,62.42,82.37,94.16,89.72,106.73,96.42,79.97,62.11
MAP3K5,123.64,154.11,156.87,144.34,80.67,91.2,112.62,101.64,104.77,148.8,117.29,80.41,83.97,62.62,70.7,87.32,101.21,102.02,116.41,81.82,68.8,73.21,82.09,93.69,213.05,118.93,60.56,83.3,85.8,156.97,147.31,117.7,94.64,96.92,72.08,81.39,155.82,164.07,77.82,115.95,45.94,68.9,181.68,171.26,110.58,86.4,64.97,90.84,120.23,116.58,101.43,75.88,79.2,79.73,86.67,131.69,110.42,70.26,61.82,39.69,72.22,101.68,117.85,85.64,83.89,59.95,66.23,73.25,63.9,65.71,62.16,56.23,56.09,74.32,53.52,20,60.83,49.59,53.22,55.46,38.57,48.94,63.94,32.8,65.51,45.38,30.33,58.59,60.7,69.75,65.05,55.83,87.83,41.2,63.7,85.72,61.2,64.66,55.45,65.74,49.58,54.8,59.4,42.91,67.84,58.27,45.28,36.42,44.66,50.95,67.97,58.65,65.33,46.22,54.82,49.34,53,47.97,41.07,39.25,57.12,49.11,58.17,69.24,58.85,45.77,59.02,53.93,81.52,78.19
MAP3K7,20,38.53,20,20,20,20,20,20,26.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.89,20,20,25.44,20,40.22,20,20,20,20,20,20,23.25,20,20,20,20,20,20,20,25.09,20,20,20,28.16,20,20,20,28.46,20,20,20,25.87,20,20,20,20,20,20,20,20,20,20,20,20,25.81,26.28,20.05,20,20,26.86,20,20,33.59,27.43,20,20.35,20,39.66,20,30.46,20,23.22,20,24.12,24.83,43.8,20,20,20,20,20,20,23.69,20,27.37,25.87,20,20,27.9,24.52,20,26.28,20,27.75,20,27.54,20.04,20,20,20,21.74,20,20,20,20,20,33.39,20,20,20,20,23.8,26.37,20,27.95,28.5
MAP3K9,31.49,20,32.15,42.56,20,20,20,24.83,20,20,20,20,20,20,28.28,20,20,25.2,20,20,20,20,20,35.75,20,20,26.65,20,20,20,27.62,20,20,20,20,24.31,23.16,20,20,20,20,21.85,20,25.09,20,20,20,21.8,29.53,20,20,21.08,20,20,21.41,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MAP4K1,51.32,79.81,69.43,46.26,76.59,57.72,75.63,57.41,60.41,49.89,59.52,57.44,40.37,65.03,79.18,77.24,74.57,42.01,50.15,58.84,71.55,106.44,91.96,54.24,37.53,58.52,38.76,50.76,52.28,48.77,47.35,45.12,55.28,43.27,69.28,45.45,47.38,48.26,55.07,40.14,53.39,57.13,20,57.81,20,46.8,57.75,39.06,48.51,45.52,62.55,61.13,71.66,101.2,50.98,43.5,38.9,54.35,42.72,54.58,54.73,44.06,34.56,50.27,61.82,65.28,76.47,76.34,76.19,45.56,49.13,77.96,82.54,50.15,39.25,85.89,36.32,55.92,36.15,80.39,63.23,70.87,123.54,48.03,45.71,54.88,44.77,78.12,80.01,74.62,72.61,57.26,48.79,91.55,39.09,51.43,48.37,50.72,79.22,91.61,60.46,54.8,63,67.43,57.17,118.83,58.87,47.69,69.22,63.35,88.02,83.32,66.37,84.34,96.41,64.14,67.72,86.62,121.44,91.59,73.82,87.12,73.77,74.01,73.56,68.66,60.27,62.1,47.36,73.81
MAP4K2,31.49,30.27,41.15,44.41,20,20,22.03,28.71,31.15,24.51,20,20,20,20,20,20,30.63,20,20,20,20,23.12,21.31,43.15,32.68,20,20,20,32.17,30.48,20,20,22.49,20,20,20,20,30.88,20,20,20,20,20,29.45,20,20,20,24.53,20,29.98,20,20,20,31.43,22.43,28.22,26.35,31.82,20,20,27.65,20,20,20,20,20,22.88,24.71,33.18,20,20,29.4,32.81,22.39,32.11,20,20,20,20,20,20,21.94,35.76,20,20,20,20,26.42,28.97,20,20,20,34.15,23.8,28.95,20,20,25.36,26.65,25.87,31.44,20,20,20,20,20,22.64,20,20,20,31.37,32.89,23.85,20,20,20,20,26.65,20,20,20,20,20,20,20,20,20,20,27.17,35.81
MAP4K4,123.64,82.56,99.01,94.37,58.21,115.44,152.1,105.52,127.42,182.93,110.28,76.58,119.49,94.62,91.91,82.28,78.57,91.22,42.98,52.4,141.72,87.65,93.53,75.2,82.31,77.4,106.59,140.56,115.29,99.06,99.96,94.16,109.63,126.35,271.91,82.44,78.96,76.25,83.81,101.46,54.64,73.1,89.02,111.26,79.48,127.19,116.94,107.19,92.81,84.38,72.69,61.13,103.71,179.4,94.83,121.11,106.65,98.1,184.35,135.21,104.94,94.9,149.75,67.03,81.68,141.23,78.27,93.11,492.79,615.94,422.11,213.44,165.09,239.98,297.33,257.66,501.18,404.09,565.31,344.99,701.18,400.78,330.51,767.27,809.02,648.05,233.98,327.4,153.82,522.32,465.92,380.76,131.74,119.01,335.88,384.01,433.33,418.42,147.64,103.46,338.6,440.22,478.81,268.49,130.35,77.7,492.43,659.92,308.15,224.46,108.06,105.8,273.78,319.5,312.87,166.11,373.92,94.62,153.58,299.07,288.24,185.34,130.52,138.47,692.95,654.58,538.68,302.35,114.13,76
MAPK1,195.96,198.14,225.02,136.94,160.32,160.47,204.05,142.76,140.64,142.67,124.29,112.96,143.71,161.03,178.16,208.22,202.42,124.82,180.89,156.29,202.95,183.98,190.23,171.36,136.79,105.72,104.17,128.85,172.93,149.35,178.87,135.36,174.28,185.2,175.4,177.57,138.97,171.8,142.47,167.24,156.46,148.72,121.73,119.99,145.14,158.39,203.57,131.72,141.33,124.35,126.78,160.2,186.68,182.85,149.89,150.5,150.57,133.9,122.53,132.73,149.51,103.38,130.26,178.74,136.88,130.57,177.62,205.19,160.99,125.29,123.32,191.71,188.37,223.87,177.21,20,122.57,108.67,82.34,154.18,142.26,127.41,152.8,120.66,126.46,127.71,124.21,191.85,200.72,168.7,139.17,151.73,281.37,173.94,121.61,108,88.84,126.79,181.49,201.54,139.07,140.15,135.9,152.02,169.99,182.82,135.84,115.33,75.92,203.81,192.59,216.53,169.04,158.13,110.59,151.31,163.41,162.58,166.08,153.27,157.3,155.24,215.64,183.83,155.95,143.73,134.36,171.6,233.69,288.65
MAPK11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
